ID,Images,Name,Price,Description,Category,Atributive
03,https://res.cloudinary.com/djbrvklfq/image/upload/v1673027706/FashionShop-Dacn2/products/ÁOPHONGĐENSWEETTEEBlack-973417011ec1cb6d6dbbc4f496dc8547.jpg,"ÁO PHONG ĐEN SWEET TEE #Black",1600000,"<p>Lấp la lấp lánh đồ đó, Cemmery cho ra mắt sản phẩm “Sweet Tee”&nbsp;</p><p>nhân dịp Valentine cùng với năng lượng yêu một cách tích cực, yêu là cho đi vô điều kiện.<br><br>Chất liệu: Cotton&nbsp;co giãn 2 chiều<br>Kỹ thuật in: In kim tuyến<br>Màu: Black/White<br>Trọng lượng: 240 GSM</p><figure class=""image""><img src=""https://file.hstatic.net/200000259629/file/tee_2f1f391a3e0946a29d50e19e16484f54_grande.jpg""></figure><p><br>Hướng dẫn sử dụng :<br>Nhớ lộn áo trái khi giặt và không giặt ngâm<br>Không giặt máy trong 10 ngày đầu<br>Không sử dụng nước tẩy<br>Khi phơi lộn trái áo và không phơi trực tiếp dưới ánh nắng mặt trời<br><br>Chính sách đổi trả :<br>Sản phẩm được đổi trả 1 lần trong vòng 3 ngày kể từ khi nhận được hàng (chỉ đổi size, không đổi mẫu và màu khác)<br>Miễn phí đổi hàng cho khách trong trường hợp bị lỗi từ nhà sản xuất, giao nhầm trong vòng 30 ngày.<br><br><br>*Lưu ý: Sản phẩm đổi trả còn mới nguyên tem, tags và hoá đơn mua hàng, sản phẩm không hư hỏng bởi những tác nhân bên ngoài sau khi mua hàng.</p>",01,"Trung Quốc"
-NIi3hICOARrxJrkQ2_4,https://res.cloudinary.com/djbrvklfq/image/upload/v1673027706/FashionShop-Dacn2/products/ÁOPOLOĐEN-XÁMEVENPOLOBlack-Grey-43c500b9427ac015f82a5569506f057a.jpg,"ÁO POLO ĐEN - XÁM EVEN POLO #Black-Grey",1600000,"<p>Chất liệu: Vải CVC mềm mại, ít nhăn, co giãn tốt, thoải mái, thấm hút mồ hôi</p><p>Công nghệ: Thêu tỉ mỉ,&nbsp;khó bong tróc.</p><figure class=""image""><img src=""https://file.hstatic.net/200000259629/file/polo_size_chart_2x-100_6e5d25ece75f4e77a9f4fc9f9c831cb9_grande.jpg""></figure><p><br>Hướng dẫn sử dụng :<br>Nhớ lộn áo trái khi giặt và không giặt ngâm<br>Không giặt máy trong 10 ngày đầu<br>Không sử dụng nước tẩy<br>Khi phơi lộn trái áo và không phơi trực tiếp dưới ánh nắng mặt trời<br><br>Chính sách đổi trả :<br>Sản phẩm được đổi trả 1 lần trong vòng 3 ngày kể từ khi nhận được hàng (chỉ đổi size, không đổi mẫu và màu khác)<br>Miễn phí đổi hàng cho khách trong trường hợp bị lỗi từ nhà sản xuất, giao nhầm trong vòng 30 ngày.</p><p><br>&nbsp;</p>",01,"Việt Nam"
-NLaXb-_HI_oWya_iFpH,https://res.cloudinary.com/djbrvklfq/image/upload/v1673027706/FashionShop-Dacn2/products/ÁOPHONGTRẮNGPOWERTEEWhite-45cd0fa1acddf44f9fd2e9290c4b6655.jpg,"ÁO PHONG TRẮNG POWER TEE #White",2000000,"<p>Chất liệu: Cotton co giãn 2 chiều, thoát mát<br>Kỹ thuật in: In cao su&nbsp;<br>Trọng lượng: 240 GSM</p><figure class=""image""><img src=""https://file.hstatic.net/200000259629/file/tee_2f1f391a3e0946a29d50e19e16484f54_grande.jpg""></figure><p><br>Hướng dẫn sử dụng :<br>Nhớ lộn áo trái khi giặt và không giặt ngâm<br>Không giặt máy trong 10 ngày đầu<br>Không sử dụng nước tẩy<br>Khi phơi lộn trái áo và không phơi trực tiếp dưới ánh nắng mặt trời<br><br>Chính sách đổi trả :<br>Sản phẩm được đổi trả 1 lần trong vòng 3 ngày kể từ khi nhận được hàng (chỉ đổi size, không đổi mẫu và màu khác)<br>Miễn phí đổi hàng cho khách trong trường hợp bị lỗi từ nhà sản xuất, giao nhầm trong vòng 30 ngày.<br><br><br>*Lưu ý: Sản phẩm đổi trả còn mới nguyên tem, tags và hoá đơn mua hàng, sản phẩm không hư hỏng bởi những tác nhân bên ngoài sau khi mua hàng.</p>",01,"Việt Nam"
-NLaXpNDtsdlnStgIlKF,https://res.cloudinary.com/djbrvklfq/image/upload/v1673027706/FashionShop-Dacn2/products/POWERTEEBlack-6ca89f8078a5bfe924f90b8cdcc25e93.jpg,"POWER TEE #Black",2000000,"<p>Chất liệu: Cotton co giãn 2 chiều, thoát mát<br>Kỹ thuật in: In cao su&nbsp;<br>Trọng lượng: 240 GSM</p><figure class=""image""><img src=""https://file.hstatic.net/200000259629/file/tee_2f1f391a3e0946a29d50e19e16484f54_grande.jpg""></figure><p><br>Hướng dẫn sử dụng :<br>Nhớ lộn áo trái khi giặt và không giặt ngâm<br>Không giặt máy trong 10 ngày đầu<br>Không sử dụng nước tẩy<br>Khi phơi lộn trái áo và không phơi trực tiếp dưới ánh nắng mặt trời<br><br>Chính sách đổi trả :<br>Sản phẩm được đổi trả 1 lần trong vòng 3 ngày kể từ khi nhận được hàng (chỉ đổi size, không đổi mẫu và màu khác)<br>Miễn phí đổi hàng cho khách trong trường hợp bị lỗi từ nhà sản xuất, giao nhầm trong vòng 30 ngày.<br><br><br>*Lưu ý: Sản phẩm đổi trả còn mới nguyên tem, tags và hoá đơn mua hàng, sản phẩm không hư hỏng bởi những tác nhân bên ngoài sau khi mua hàng.</p>",01,USA
-NLaY1AmJD8monbMrwFv,https://res.cloudinary.com/djbrvklfq/image/upload/v1673027706/FashionShop-Dacn2/products/ÁOPOLOMÀUKEMSTRAPPOLOCream-32d858b5df78ee90b5609ca4bbe53a88.jpg,"ÁO POLO MÀU KEM STRAP POLO #Cream",1600000,"<p>Chất liệu: Vải CVC mềm mại, ít nhăn, co giãn tốt, thoải mái, thấm hút mồ hôi<br>Công nghệ: In kéo lụa&nbsp;kết hợp&nbsp;thêu tỉ mỉ,&nbsp;khó bong tróc.</p><figure class=""image""><img src=""https://file.hstatic.net/200000259629/file/polo_size_chart_2x-100_6e5d25ece75f4e77a9f4fc9f9c831cb9_grande.jpg""></figure><p><br>Hướng dẫn sử dụng :<br>Nhớ lộn áo trái khi giặt và không giặt ngâm<br>Không giặt máy trong 10 ngày đầu<br>Không sử dụng nước tẩy<br>Khi phơi lộn trái áo và không phơi trực tiếp dưới ánh nắng mặt trời<br><br>Chính sách đổi trả :<br>Sản phẩm được đổi trả 1 lần trong vòng 3 ngày kể từ khi nhận được hàng (chỉ đổi size, không đổi mẫu và màu khác)<br>Miễn phí đổi hàng cho khách trong trường hợp bị lỗi từ nhà sản xuất, giao nhầm trong vòng 30 ngày.</p>",01,"Việt Nam"
-NLaYKU1eeyFsiNDft7k,https://res.cloudinary.com/djbrvklfq/image/upload/v1673027706/FashionShop-Dacn2/products/ÁOPOLOSTRAPMÀUXÁM-STRAPPOLOGrey-ff15ac6a1d93c5e470b43d2483f05071.jpg,"ÁO POLO STRAP MÀU XÁM - STRAP POLO #Grey",1600000,"<p>Chất liệu: Vải CVC mềm mại, ít nhăn, co giãn tốt, thoải mái, thấm hút mồ hôi<br>Công nghệ: In kéo lụa&nbsp;kết hợp&nbsp;thêu tỉ mỉ,&nbsp;khó bong tróc.</p><figure class=""image""><img src=""https://file.hstatic.net/200000259629/file/polo_size_chart_2x-100_6e5d25ece75f4e77a9f4fc9f9c831cb9_grande.jpg""></figure><p><br>Hướng dẫn sử dụng :<br>Nhớ lộn áo trái khi giặt và không giặt ngâm<br>Không giặt máy trong 10 ngày đầu<br>Không sử dụng nước tẩy<br>Khi phơi lộn trái áo và không phơi trực tiếp dưới ánh nắng mặt trời<br><br>Chính sách đổi trả :<br>Sản phẩm được đổi trả 1 lần trong vòng 3 ngày kể từ khi nhận được hàng (chỉ đổi size, không đổi mẫu và màu khác)<br>Miễn phí đổi hàng cho khách trong trường hợp bị lỗi từ nhà sản xuất, giao nhầm trong vòng 30 ngày.</p>",01,"Việt Nam"
-NXZ4erU-i88LgFvg7DG,https://res.cloudinary.com/djbrvklfq/image/upload/v1673027706/FashionShop-Dacn2/products/ÁOWINGBABYPOLOBegie-4f758bc318a202d264cd04a15766c20e.jpg,"ÁO WING BABY POLO #Begie",2600000,"<p>Chất liệu: Vải CVC mềm mại, ít nhăn, co giãn tốt, thoải mái, thấm hút mồ hôi<br>Công nghệ: Thêu tỉ mỉ,&nbsp;line cầu vai kết hợp raglan phần thân thon thả, khóa kéo dễ dàng</p><figure class=""image""><img src=""https://file.hstatic.net/200000259629/file/size_chart_bb_polo_0d18a45082c640ed824b7af4541a06a0_grande.jpg""></figure><p><br>Hướng dẫn sử dụng :<br>Nhớ lộn áo trái khi giặt và không giặt ngâm<br>Không giặt máy trong 10 ngày đầu<br>Không sử dụng nước tẩy<br>Khi phơi lộn trái áo và không phơi trực tiếp dưới ánh nắng mặt trời<br><br>Chính sách đổi trả :<br>Sản phẩm được đổi trả 1 lần trong vòng 3 ngày kể từ khi nhận được hàng (chỉ đổi size, không đổi mẫu và màu khác)<br>Miễn phí đổi hàng cho khách trong trường hợp bị lỗi từ nhà sản xuất, giao nhầm trong vòng 30 ngày.</p>",01,"Trung Quốc"
-NXZ7oWRUS8XiIcySfXQ,https://res.cloudinary.com/djbrvklfq/image/upload/v1673027706/FashionShop-Dacn2/products/ÁOWINGBABYPOLOWhite-9c313d76953a66eedbbf8de322200033.jpg,"ÁO WING BABY POLO #White",2600000,"<p>Chất liệu: Vải CVC mềm mại, ít nhăn, co giãn tốt, thoải mái, thấm hút mồ hôi<br>Công nghệ: Thêu tỉ mỉ,&nbsp;line cầu vai kết hợp raglan phần thân thon thả, khóa kéo dễ dàng</p><figure class=""image""><img src=""https://file.hstatic.net/200000259629/file/size_chart_bb_polo_0d18a45082c640ed824b7af4541a06a0_grande.jpg""></figure><p><br>Hướng dẫn sử dụng :<br>Nhớ lộn áo trái khi giặt và không giặt ngâm<br>Không giặt máy trong 10 ngày đầu<br>Không sử dụng nước tẩy<br>Khi phơi lộn trái áo và không phơi trực tiếp dưới ánh nắng mặt trời<br><br>Chính sách đổi trả :<br>Sản phẩm được đổi trả 1 lần trong vòng 3 ngày kể từ khi nhận được hàng (chỉ đổi size, không đổi mẫu và màu khác)<br>Miễn phí đổi hàng cho khách trong trường hợp bị lỗi từ nhà sản xuất, giao nhầm trong vòng 30 ngày.</p>",01,"Trung Quốc"
-NXZ8H8kiQ2UxMOhotBH,https://res.cloudinary.com/djbrvklfq/image/upload/v1673027706/FashionShop-Dacn2/products/ÁOWINGBABYPOLOGrey-5596067383e130ef01b2d4db3332f6d4.jpg,"ÁO WING BABY POLO #Grey",2600000,"<p>Chất liệu: Vải CVC mềm mại, ít nhăn, co giãn tốt, thoải mái, thấm hút mồ hôi<br>Công nghệ: Thêu tỉ mỉ,&nbsp;line cầu vai kết hợp raglan phần thân thon thả, khóa kéo dễ dàng</p><figure class=""image""><img src=""https://file.hstatic.net/200000259629/file/size_chart_bb_polo_0d18a45082c640ed824b7af4541a06a0_grande.jpg""></figure><p><br>Hướng dẫn sử dụng :<br>Nhớ lộn áo trái khi giặt và không giặt ngâm<br>Không giặt máy trong 10 ngày đầu<br>Không sử dụng nước tẩy<br>Khi phơi lộn trái áo và không phơi trực tiếp dưới ánh nắng mặt trời<br><br>Chính sách đổi trả :<br>Sản phẩm được đổi trả 1 lần trong vòng 3 ngày kể từ khi nhận được hàng (chỉ đổi size, không đổi mẫu và màu khác)<br>Miễn phí đổi hàng cho khách trong trường hợp bị lỗi từ nhà sản xuất, giao nhầm trong vòng 30 ngày.</p>",01,"Trung Quốc"
-NXZ8ZF1BHjz3YH-oLou,https://res.cloudinary.com/djbrvklfq/image/upload/v1673027706/FashionShop-Dacn2/products/ÁOEVENPOLONavy-270feb04133080c3d9dad73e88cee734.jpg,"ÁO EVEN POLO #Navy",2600000,"<p>Chất liệu: Vải CVC mềm mại, ít nhăn, co giãn tốt, thoải mái, thấm hút mồ hôi<br>Công nghệ: Thêu tỉ mỉ,&nbsp;line cầu vai kết hợp raglan phần thân thon thả, khóa kéo dễ dàng</p><figure class=""image""><img src=""https://file.hstatic.net/200000259629/file/size_chart_bb_polo_0d18a45082c640ed824b7af4541a06a0_grande.jpg""></figure><p><br>Hướng dẫn sử dụng :<br>Nhớ lộn áo trái khi giặt và không giặt ngâm<br>Không giặt máy trong 10 ngày đầu<br>Không sử dụng nước tẩy<br>Khi phơi lộn trái áo và không phơi trực tiếp dưới ánh nắng mặt trời<br><br>Chính sách đổi trả :<br>Sản phẩm được đổi trả 1 lần trong vòng 3 ngày kể từ khi nhận được hàng (chỉ đổi size, không đổi mẫu và màu khác)<br>Miễn phí đổi hàng cho khách trong trường hợp bị lỗi từ nhà sản xuất, giao nhầm trong vòng 30 ngày.</p>",01,"Việt Nam"
